Freq.	V(vo)
1.00000000000000e-02	(-1.14307240330090e+02dB,1.79953035141113e+02°)
1.04712854805090e-02	(-1.13507239192289e+02dB,1.79950848866781e+02°)
1.09647819614319e-02	(-1.12707237944713e+02dB,1.79948558335104e+02°)
1.14815362149688e-02	(-1.11907236576771e+02dB,1.79946158687378e+02°)
1.20226443461741e-02	(-1.11107235076851e+02dB,1.79943644833426e+02°)
1.25892541179417e-02	(-1.10307233432220e+02dB,1.79941011440790e+02°)
1.31825673855641e-02	(-1.09507231628916e+02dB,1.79938252923422e+02°)
1.38038426460289e-02	(-1.08707229651632e+02dB,1.79935363429828e+02°)
1.44543977074593e-02	(-1.07907227483581e+02dB,1.79932336830650e+02°)
1.51356124843621e-02	(-1.07107225106360e+02dB,1.79929166705656e+02°)
1.58489319246111e-02	(-1.06307222499786e+02dB,1.79925846330118e+02°)
1.65958690743756e-02	(-1.05507219641735e+02dB,1.79922368660536e+02°)
1.73780082874938e-02	(-1.04707216507942e+02dB,1.79918726319691e+02°)
1.81970085860998e-02	(-1.03907213071805e+02dB,1.79914911580978e+02°)
1.90546071796325e-02	(-1.03107209304154e+02dB,1.79910916352013e+02°)
1.99526231496888e-02	(-1.02307205173006e+02dB,1.79906732157445e+02°)
2.08929613085404e-02	(-1.01507200643290e+02dB,1.79902350120962e+02°)
2.18776162394956e-02	(-1.00707195676553e+02dB,1.79897760946445e+02°)
2.29086765276778e-02	(-9.99071902306322e+01dB,1.79892954898227e+02°)
2.39883291901949e-02	(-9.91071842592961e+01dB,1.79887921780409e+02°)
2.51188643150958e-02	(-9.83071777118534e+01dB,1.79882650915211e+02°)
2.63026799189539e-02	(-9.75071705327217e+01dB,1.79877131120278e+02°)
2.75422870333817e-02	(-9.67071626609562e+01dB,1.79871350684928e+02°)
2.88403150312661e-02	(-9.59071540297321e+01dB,1.79865297345259e+02°)
3.01995172040202e-02	(-9.51071445657773e+01dB,1.79858958258087e+02°)
3.16227766016838e-02	(-9.43071341887504e+01dB,1.79852319973636e+02°)
3.31131121482592e-02	(-9.35071228105585e+01dB,1.79845368406944e+02°)
3.46736850452532e-02	(-9.27071103346094e+01dB,1.79838088807901e+02°)
3.63078054770102e-02	(-9.19070966549916e+01dB,1.79830465729868e+02°)
3.80189396320562e-02	(-9.11070816555750e+01dB,1.79822482996811e+02°)
3.98107170553498e-02	(-9.03070652090249e+01dB,1.79814123668857e+02°)
4.16869383470336e-02	(-8.95070471757212e+01dB,1.79805370006228e+02°)
4.36515832240167e-02	(-8.87070274025727e+01dB,1.79796203431444e+02°)
