time	V(vo)
0.000000000000000e+00	2.713018e-05
9.999999717180685e-10	2.713019e-05
1.999999943436137e-09	2.713021e-05
3.428830309292844e-08	2.863643e-05
6.657660624242075e-08	3.548922e-05
9.886490939191306e-08	4.768858e-05
1.311532125414054e-07	6.523451e-05
1.634415156908977e-07	8.812700e-05
1.957298188403900e-07	1.163661e-04
2.280181219898822e-07	1.499517e-04
1.905612709068584e-05	1.877119e-02
3.788423605938180e-05	3.703294e-02
5.671234502807776e-05	5.493520e-02
7.554045399677371e-05	7.247798e-02
9.436856296546967e-05	8.966126e-02
1.131966719341656e-04	1.064851e-01
1.320247809028615e-04	1.229494e-01
2.635133555628201e-04	2.306389e-01
4.690792689706418e-04	3.755533e-01
7.763902846322705e-04	5.482600e-01
1.204226535865259e-03	7.217596e-01
1.802973634976610e-03	8.740992e-01
2.625683379293605e-03	9.822850e-01
3.574562641626581e-03	1.025973e+00
4.772763105555387e-03	1.020649e+00
6.257136066437837e-03	9.776214e-01
8.369425289285550e-03	8.933771e-01
1.138674054977650e-02	7.596393e-01
1.645097204457091e-02	5.286278e-01
2.469989117928826e-02	1.721729e-01
3.469989117928826e-02	-1.862544e-01
4.469989117928826e-02	-4.236971e-01
5.469989117928827e-02	-5.239456e-01
6.329463655485772e-02	-5.065437e-01
7.116029011941893e-02	-4.215047e-01
7.901938516178604e-02	-2.969269e-01
8.838265373614354e-02	-1.339344e-01
9.838265373614354e-02	2.347682e-02
1.083826537361435e-01	1.388855e-01
1.183826537361435e-01	1.990924e-01
1.283826537361435e-01	2.070337e-01
1.362461061394380e-01	1.813334e-01
1.441349440781187e-01	1.351500e-01
1.522917514141154e-01	7.885533e-02
1.622917514141154e-01	1.215866e-02
1.722917514141154e-01	-4.097210e-02
1.822917514141154e-01	-7.330225e-02
1.922917514141154e-01	-8.416317e-02
2.001948416705924e-01	-7.851080e-02
2.081383407047462e-01	-6.284136e-02
2.160649736527432e-01	-4.203326e-02
2.260649736527432e-01	-1.453562e-02
2.360649736527432e-01	9.165130e-03
2.460649736527432e-01	2.541587e-02
2.560649736527432e-01	3.291931e-02
2.650034611473117e-01	3.257162e-02
2.729131036193027e-01	2.759972e-02
2.808248260324191e-01	1.983924e-02
2.895591730278310e-01	1.017282e-02
2.995591730278310e-01	-1.103951e-04
3.095591730278310e-01	-7.926352e-03
3.195591730278310e-01	-1.230157e-02
3.295591730278310e-01	-1.330001e-02
3.375078253372786e-01	-1.193147e-02
3.457050051624493e-01	-9.044259e-03
3.539737802339224e-01	-5.467098e-03
3.639737802339224e-01	-1.180606e-03
3.739737802339224e-01	2.310450e-03
3.839737802339224e-01	4.510758e-03
3.939737802339224e-01	5.337827e-03
4.020659180017988e-01	5.039050e-03
4.111254677959310e-01	3.933929e-03
4.194896229941446e-01	2.546001e-03
4.294896229941446e-01	8.059062e-04
4.394896229941446e-01	-6.751042e-04
4.494896229941446e-01	-1.670668e-03
4.594896229941446e-01	-2.107678e-03
4.684866259808240e-01	-2.042288e-03
4.780115010880799e-01	-1.615282e-03
4.870564148002302e-01	-1.025355e-03
4.970564148002302e-01	-3.309697e-04
5.070564148002302e-01	2.625180e-04
5.170564148002302e-01	6.622256e-04
5.270564148002302e-01	8.337506e-04
5.370564148002303e-01	7.969765e-04
5.469453712889523e-01	6.106041e-04
5.569453712889523e-01	3.439042e-04
5.669453712889523e-01	7.090118e-05
5.769453712889523e-01	-1.523414e-04
5.869453712889523e-01	-2.927720e-04
5.969453712889523e-01	-3.417901e-04
6.069453712889523e-01	-3.111863e-04
6.201092574220983e-01	-1.949562e-04
6.237814851558063e-01	-1.510198e-04
6.280000000000010e-01	-3.437653e-01
6.297128245573188e-01	-1.017389e+00
6.310109604604547e-01	-1.780575e+00
6.315757826838774e-01	-1.977510e+00
6.322404681016808e-01	-2.042772e+00
6.329837398394893e-01	-2.054365e+00
6.343245736237046e-01	-2.003588e+00
6.357200983872329e-01	-1.909495e+00
6.379476890172090e-01	-1.724173e+00
6.406958001116346e-01	-1.478065e+00
6.461920223004860e-01	-9.750280e-01
6.534136757014447e-01	-3.423584e-01
6.609386744526857e-01	2.195428e-01
6.709386744526857e-01	7.499312e-01
6.809386744526857e-01	1.013449e+00
6.909386744526858e-01	1.019960e+00
6.988673554915583e-01	8.710928e-01
7.068103373662815e-01	6.277229e-01
7.152283304816200e-01	3.350880e-01
7.252283304816201e-01	9.766947e-03
7.352283304816201e-01	-2.399792e-01
7.452283304816201e-01	-3.824327e-01
7.552283304816201e-01	-4.189177e-01
7.629725930304523e-01	-3.801496e-01
7.714017024780470e-01	-2.890542e-01
7.794021599296603e-01	-1.811868e-01
7.894021599296603e-01	-4.563818e-02
7.994021599296603e-01	6.628620e-02
8.094021599296604e-01	1.384115e-01
8.194021599296604e-01	1.671319e-01
8.277867679782328e-01	1.596912e-01
8.356776623959844e-01	1.313378e-01
8.435578435000053e-01	9.113126e-02
8.533291816024171e-01	3.723560e-02
8.633291816024171e-01	-1.177323e-02
8.733291816024171e-01	-4.682053e-02
8.833291816024171e-01	-6.417247e-02
8.933291816024171e-01	-6.510086e-02
9.012755606448708e-01	-5.590103e-02
9.092382558722519e-01	-4.054279e-02
9.175207634233369e-01	-2.225638e-02
9.275207634233369e-01	-1.432081e-03
9.375207634233369e-01	1.470675e-02
9.475207634233369e-01	2.407240e-02
9.575207634233369e-01	2.667237e-02
9.653275928701578e-01	2.434499e-02
9.738525259840303e-01	1.858335e-02
9.819336789459115e-01	1.168608e-02
9.919336789459116e-01	3.054476e-03
1.001933678945911e+00	-4.103063e-03
1.011933678945911e+00	-8.743405e-03
1.021933678945911e+00	-1.061756e-02
1.030423475523211e+00	-1.015956e-02
1.038551054512885e+00	-8.303670e-03
1.046669079130986e+00	-5.664504e-03
1.056368714711984e+00	-2.265925e-03
1.066368714711984e+00	8.300490e-04
1.076368714711984e+00	3.026240e-03
1.086368714711984e+00	4.094392e-03
1.096368714711984e+00	4.100858e-03
1.105538373474580e+00	3.371078e-03
1.114060513320779e+00	2.291541e-03
1.123350374717105e+00	9.889223e-04
1.133350374717105e+00	-2.661671e-04
1.143350374717105e+00	-1.171393e-03
1.153350374717105e+00	-1.627781e-03
1.163350374717105e+00	-1.651923e-03
1.173054803192183e+00	-1.352323e-03
1.182345946424105e+00	-8.842692e-04
1.192345946424105e+00	-3.280538e-04
1.202345946424105e+00	1.600897e-04
1.212345946424105e+00	4.999517e-04
1.222345946424105e+00	6.583792e-04
1.232345946424105e+00	6.464976e-04
1.242345946424105e+00	5.142466e-04
1.251843249937464e+00	3.079439e-04
1.257000000000000e+00	3.731125e-01
1.258891568074138e+00	1.060018e+00
1.260356500850846e+00	1.843224e+00
1.260982972220640e+00	2.023147e+00
1.261726043957448e+00	2.060270e+00
1.262491976472865e+00	2.049167e+00
1.264023841503700e+00	1.965551e+00
1.265602030631655e+00	1.846378e+00
1.268304112398344e+00	1.611786e+00
1.271659434291188e+00	1.306590e+00
1.278370078076877e+00	6.969523e-01
1.285268112407072e+00	1.225903e-01
1.294257693753180e+00	-4.748702e-01
1.304257693753180e+00	-8.959734e-01
1.314257693753180e+00	-1.052298e+00
1.322385789176053e+00	-9.921309e-01
1.330282263264231e+00	-8.049049e-01
1.338163971318056e+00	-5.489097e-01
1.348163971318056e+00	-2.037734e-01
1.358163971318056e+00	9.770273e-02
1.368163971318056e+00	3.082120e-01
1.378163971318056e+00	4.070117e-01
1.388163971318056e+00	4.040642e-01
1.396128411892561e+00	3.412058e-01
1.404103175460608e+00	2.419798e-01
1.412865931051421e+00	1.203299e-01
