time	V(vo)
0.000000000000000e+00	2.723018e-05
9.999999717180685e-10	2.723018e-05
1.999999943436137e-09	2.723020e-05
3.428498697289651e-08	2.872380e-05
6.656997400235689e-08	3.556231e-05
9.885496103181727e-08	4.774573e-05
1.311399480612776e-07	6.527404e-05
1.634249350907380e-07	8.814726e-05
1.957099221201984e-07	1.163654e-04
2.279949091496587e-07	1.499284e-04
1.903361523018390e-05	1.874920e-02
3.783923555121814e-05	3.698981e-02
5.664485587225238e-05	5.487174e-02
7.545047619328663e-05	7.239501e-02
9.425609651432087e-05	8.955962e-02
1.130617168353551e-04	1.063656e-01
1.318673371563893e-04	1.228128e-01
2.631962858507212e-04	2.303943e-01
4.686343970152477e-04	3.752674e-01
7.757132406742824e-04	5.479293e-01
1.203323521211182e-03	7.258602e-01
1.642776646211182e-03	8.520746e-01
2.082229771211182e-03	9.339352e-01
2.521682896211182e-03	9.849296e-01
2.961136021211182e-03	1.014665e+00
3.400589146211182e-03	1.029731e+00
3.840042271211183e-03	1.034651e+00
4.279495396211182e-03	1.032528e+00
4.718948521211182e-03	1.025496e+00
5.158401646211183e-03	1.015020e+00
5.597854771211183e-03	1.002108e+00
6.037307896211183e-03	9.874554e-01
6.476761021211183e-03	9.715419e-01
6.916214146211183e-03	9.547004e-01
7.355667271211183e-03	9.371626e-01
7.795120396211184e-03	9.190909e-01
8.234573521211184e-03	9.006001e-01
8.674026646211183e-03	8.817725e-01
9.113479771211182e-03	8.626679e-01
9.552932896211182e-03	8.433307e-01
1.043183914621118e-02	8.040873e-01
1.175019852121118e-02	7.441325e-01
1.319411593192546e-02	6.765573e-01
1.463803334263975e-02	6.091807e-01
1.608195075335403e-02	5.420028e-01
1.752586816406831e-02	4.750235e-01
1.896978557478260e-02	4.082427e-01
2.041370298549688e-02	3.416606e-01
2.185762039621116e-02	2.752771e-01
2.273652664621116e-02	2.358419e-01
2.361543289621116e-02	1.970807e-01
2.449433914621116e-02	1.589935e-01
2.537324539621116e-02	1.215802e-01
2.625215164621116e-02	8.484098e-02
2.713105789621115e-02	4.877573e-02
2.800996414621115e-02	1.338445e-02
2.844941727121115e-02	-3.931663e-03
2.888887039621115e-02	-2.103074e-02
2.932832352121115e-02	-3.790755e-02
3.020722977121115e-02	-7.097431e-02
3.108613602121115e-02	-1.030935e-01
3.152558914621115e-02	-1.187864e-01
3.196504227121115e-02	-1.342293e-01
3.240449539621115e-02	-1.494180e-01
3.284394852121116e-02	-1.643487e-01
3.372285477121116e-02	-1.934213e-01
3.460176102121117e-02	-2.214195e-01
3.592012039621117e-02	-2.613481e-01
3.723847977121118e-02	-2.987301e-01
3.899629227121119e-02	-3.445340e-01
4.075410477121121e-02	-3.855399e-01
4.251191727121122e-02	-4.217479e-01
4.426972977121123e-02	-4.531580e-01
4.602754227121124e-02	-4.797702e-01
4.778535477121125e-02	-5.015844e-01
4.954316727121126e-02	-5.186006e-01
5.092430566406841e-02	-5.285585e-01
5.230544405692557e-02	-5.359471e-01
5.368658244978271e-02	-5.407666e-01
5.506772084263987e-02	-5.430169e-01
5.644885923549702e-02	-5.426980e-01
5.782999762835418e-02	-5.398099e-01
5.921113602121132e-02	-5.343527e-01
6.052949539621133e-02	-5.273051e-01
6.184785477121134e-02	-5.183457e-01
6.329177218192564e-02	-5.060819e-01
6.473568959263992e-02	-4.921815e-01
6.617960700335422e-02	-4.766444e-01
6.762352441406852e-02	-4.594706e-01
6.906744182478282e-02	-4.406601e-01
7.051135923549712e-02	-4.202130e-01
7.195527664621140e-02	-3.981292e-01
7.358753111049712e-02	-3.717634e-01
7.521978557478286e-02	-3.447726e-01
7.685204003906858e-02	-3.171568e-01
7.848429450335430e-02	-2.889161e-01
8.011654896764003e-02	-2.600504e-01
8.174880343192575e-02	-2.305597e-01
8.338105789621147e-02	-2.004440e-01
8.463663825335434e-02	-1.775434e-01
8.589221861049720e-02	-1.549642e-01
8.714779896764008e-02	-1.327064e-01
8.840337932478294e-02	-1.107700e-01
8.965895968192580e-02	-8.915502e-02
9.091454003906867e-02	-6.786143e-02
9.217012039621153e-02	-4.688926e-02
9.348847977121154e-02	-2.565177e-02
9.436738602121154e-02	-1.186546e-02
9.480683914621155e-02	-5.090742e-03
9.524629227121155e-02	1.602133e-03
9.568574539621155e-02	8.211080e-03
9.656465164621156e-02	2.116917e-02
9.744355789621156e-02	3.376816e-02
9.832246414621157e-02	4.599370e-02
9.876191727121157e-02	5.196223e-02
9.920137039621157e-02	5.783250e-02
1.000802766462116e-01	6.927231e-02
1.009591828962116e-01	8.030192e-02
1.022775422712116e-01	9.605519e-02
1.035959016462116e-01	1.108328e-01
1.054792721819259e-01	1.302160e-01
1.073626427176402e-01	1.474728e-01
1.092460132533545e-01	1.626031e-01
1.111293837890688e-01	1.756070e-01
1.130127543247831e-01	1.864845e-01
1.148961248604974e-01	1.952354e-01
1.167794953962117e-01	2.018600e-01
1.184745288783545e-01	2.059391e-01
1.201695623604974e-01	2.085871e-01
1.218645958426402e-01	2.098037e-01
1.235596293247831e-01	2.095891e-01
1.252546628069259e-01	2.079433e-01
1.269496962890688e-01	2.048662e-01
1.286447297712116e-01	2.003579e-01
1.305281003069259e-01	1.938738e-01
1.324114708426401e-01	1.864231e-01
1.342948413783543e-01	1.780056e-01
1.361782119140686e-01	1.686215e-01
1.380615824497828e-01	1.582706e-01
1.399449529854971e-01	1.469531e-01
1.418283235212113e-01	1.346688e-01
1.433977989676398e-01	1.241494e-01
1.449672744140684e-01	1.135363e-01
1.465367498604969e-01	1.028292e-01
1.481062253069254e-01	9.202834e-02
1.496757007533540e-01	8.113360e-02
1.512451761997825e-01	7.014501e-02
1.528146516462110e-01	5.906257e-02
1.539446739676396e-01	5.123706e-02
1.550746962890681e-01	4.355030e-02
1.562047186104966e-01	3.600229e-02
1.573347409319252e-01	2.859303e-02
1.584647632533537e-01	2.132252e-02
1.595947855747823e-01	1.419077e-02
1.607248078962108e-01	7.197769e-03
1.616037141462108e-01	1.929909e-03
1.620431672712108e-01	-6.569621e-04
1.629220735212108e-01	-5.732559e-03
1.638009797712107e-01	-1.067222e-02
1.646798860212107e-01	-1.547020e-02
1.655587922712107e-01	-2.012116e-02
1.664376985212107e-01	-2.462017e-02
1.673166047712107e-01	-2.896270e-02
1.686349641462106e-01	-3.517415e-02
1.699533235212106e-01	-4.101202e-02
1.722133681640677e-01	-5.011988e-02
1.744734128069248e-01	-5.805084e-02
1.767334574497819e-01	-6.480489e-02
1.789935020926390e-01	-7.038203e-02
1.812535467354960e-01	-7.478227e-02
1.835135913783531e-01	-7.800559e-02
1.857736360212102e-01	-8.005201e-02
1.879081226283530e-01	-8.086449e-02
1.900426092354958e-01	-8.090642e-02
1.921770958426386e-01	-8.017781e-02
1.943115824497814e-01	-7.867866e-02
1.964460690569242e-01	-7.640896e-02
1.985805556640670e-01	-7.336871e-02
2.007150422712098e-01	-6.955792e-02
2.024728547712098e-01	-6.605210e-02
2.042306672712097e-01	-6.233626e-02
