time	V(vo)
0.000000000000000e+00	2.723018e-05
1.143325416831788e-05	2.124911e-04
2.286650833663576e-05	7.079105e-04
3.429976250495363e-05	1.513488e-03
4.573301667327151e-05	2.629225e-03
5.716627084158939e-05	4.055120e-03
6.859952500990726e-05	5.791173e-03
8.003277917822512e-05	7.837385e-03
8.784527917822513e-05	9.403601e-03
9.565777917822514e-05	1.110749e-02
1.034702791782251e-04	1.294744e-02
1.112827791782252e-04	1.492178e-02
1.190952791782252e-04	1.702880e-02
1.269077791782252e-04	1.926676e-02
1.425327791782252e-04	2.412825e-02
1.581577791782252e-04	2.949137e-02
1.737827791782252e-04	3.534057e-02
1.894077791782252e-04	4.165966e-02
2.128452791782252e-04	5.198240e-02
2.362827791782253e-04	6.326518e-02
2.597202791782253e-04	7.544595e-02
2.842738506067967e-04	8.930716e-02
3.088274220353681e-04	1.037998e-01
3.333809934639396e-04	1.189239e-01
3.579345648925111e-04	1.346793e-01
3.824881363210826e-04	1.510662e-01
4.070417077496540e-04	1.680846e-01
4.315952791782254e-04	1.857343e-01
4.639613506067969e-04	2.097184e-01
4.963274220353683e-04	2.335598e-01
5.286934934639399e-04	2.572587e-01
5.610595648925113e-04	2.808149e-01
5.934256363210827e-04	3.042285e-01
6.257917077496541e-04	3.274994e-01
6.581577791782256e-04	3.506278e-01
6.927559934639399e-04	3.743711e-01
7.273542077496542e-04	3.964359e-01
7.619524220353686e-04	4.168220e-01
7.965506363210829e-04	4.355295e-01
8.311488506067972e-04	4.525584e-01
8.657470648925115e-04	4.679087e-01
9.003452791782258e-04	4.815803e-01
9.204345648925115e-04	4.882728e-01
9.405238506067972e-04	4.941266e-01
9.606131363210830e-04	4.991416e-01
9.807024220353686e-04	5.033178e-01
1.000791707749654e-03	5.066554e-01
1.020880993463940e-03	5.091541e-01
1.040970279178226e-03	5.108142e-01
1.064407779178226e-03	5.115726e-01
1.072220279178226e-03	5.115532e-01
1.087845279178226e-03	5.111033e-01
1.103470279178226e-03	5.101021e-01
1.119095279178226e-03	5.085495e-01
1.134720279178226e-03	5.064454e-01
1.150345279178226e-03	5.037898e-01
1.165970279178226e-03	5.005827e-01
1.181595279178226e-03	4.968241e-01
1.197220279178226e-03	4.925140e-01
1.206148850606797e-03	4.898059e-01
1.215077422035369e-03	4.869233e-01
1.224005993463940e-03	4.838664e-01
1.232934564892512e-03	4.806350e-01
1.241863136321083e-03	4.772292e-01
1.250791707749655e-03	4.736491e-01
1.259720279178226e-03	4.698945e-01
1.273113136321083e-03	4.639330e-01
1.286505993463940e-03	4.576079e-01
1.299898850606798e-03	4.509192e-01
1.313291707749655e-03	4.438669e-01
1.326684564892512e-03	4.364509e-01
1.340077422035369e-03	4.286713e-01
1.353470279178226e-03	4.205281e-01
1.381372064892512e-03	4.022890e-01
1.409273850606798e-03	3.828664e-01
1.437175636321083e-03	3.622603e-01
1.465077422035369e-03	3.404707e-01
1.492979207749655e-03	3.174975e-01
1.520880993463941e-03	2.933409e-01
1.548782779178226e-03	2.680007e-01
1.575568493463941e-03	2.428517e-01
1.602354207749655e-03	2.173032e-01
1.629139922035369e-03	1.913553e-01
1.655925636321084e-03	1.650079e-01
1.682711350606798e-03	1.382612e-01
1.709497064892512e-03	1.111150e-01
1.736282779178227e-03	8.356938e-02
1.748559564892512e-03	7.103117e-02
1.760836350606798e-03	5.852825e-02
1.773113136321084e-03	4.606060e-02
1.785389922035369e-03	3.362824e-02
1.797666707749655e-03	2.123115e-02
1.809943493463941e-03	8.869342e-03
1.822220279178227e-03	-3.457185e-03
1.837845279178227e-03	-1.900414e-02
1.861282779178227e-03	-4.205498e-02
1.882488136321084e-03	-6.270397e-02
1.903693493463941e-03	-8.285415e-02
1.924898850606798e-03	-1.025055e-01
1.946104207749655e-03	-1.216581e-01
1.967309564892513e-03	-1.403118e-01
1.988514922035369e-03	-1.584668e-01
2.009720279178227e-03	-1.761229e-01
2.042086350606798e-03	-2.018925e-01
2.074452422035369e-03	-2.256378e-01
2.106818493463941e-03	-2.473588e-01
2.139184564892512e-03	-2.670556e-01
2.171550636321084e-03	-2.847280e-01
2.203916707749656e-03	-3.003761e-01
2.236282779178227e-03	-3.140000e-01
2.255255993463941e-03	-3.207470e-01
2.274229207749655e-03	-3.266455e-01
2.293202422035370e-03	-3.316952e-01
2.312175636321084e-03	-3.358963e-01
2.331148850606798e-03	-3.392488e-01
2.350122064892512e-03	-3.417526e-01
2.369095279178227e-03	-3.434077e-01
2.379139922035370e-03	-3.439244e-01
2.389184564892512e-03	-3.441994e-01
2.399229207749655e-03	-3.442327e-01
2.409273850606799e-03	-3.440244e-01
2.419318493463941e-03	-3.435744e-01
2.429363136321084e-03	-3.428827e-01
2.439407779178227e-03	-3.419493e-01
2.449452422035370e-03	-3.407742e-01
2.459497064892513e-03	-3.393641e-01
2.469541707749655e-03	-3.377189e-01
2.479586350606799e-03	-3.358386e-01
2.489630993463941e-03	-3.337233e-01
2.499675636321084e-03	-3.313729e-01
2.509720279178227e-03	-3.287875e-01
2.519764922035370e-03	-3.259706e-01
2.529809564892513e-03	-3.229325e-01
2.539854207749655e-03	-3.196731e-01
2.549898850606799e-03	-3.161923e-01
2.559943493463941e-03	-3.124902e-01
2.569988136321084e-03	-3.085669e-01
2.580032779178227e-03	-3.044222e-01
2.604586350606799e-03	-2.932793e-01
2.629139922035370e-03	-2.810515e-01
2.653693493463942e-03	-2.677386e-01
2.678247064892513e-03	-2.533408e-01
2.702800636321084e-03	-2.378579e-01
2.727354207749656e-03	-2.212900e-01
2.751907779178227e-03	-2.036371e-01
2.775345279178227e-03	-1.859521e-01
2.798782779178227e-03	-1.677130e-01
2.822220279178227e-03	-1.489198e-01
2.845657779178227e-03	-1.295725e-01
2.869095279178227e-03	-1.096710e-01
2.892532779178227e-03	-8.921553e-02
2.915970279178227e-03	-6.820591e-02
2.926014922035370e-03	-5.916486e-02
2.936059564892513e-03	-5.008884e-02
2.946104207749656e-03	-4.097782e-02
2.956148850606799e-03	-3.183183e-02
2.966193493463942e-03	-2.265085e-02
2.976238136321085e-03	-1.343489e-02
2.986282779178227e-03	-4.183938e-03
2.997443493463942e-03	6.115136e-03
3.008604207749656e-03	1.640269e-02
3.019764922035370e-03	2.667873e-02
3.030925636321085e-03	3.694325e-02
3.042086350606799e-03	4.719625e-02
3.053247064892513e-03	5.743773e-02
3.064407779178227e-03	6.766770e-02
3.088961350606799e-03	9.018212e-02
3.113514922035370e-03	1.122067e-01
3.138068493463942e-03	1.337414e-01
3.162622064892513e-03	1.547862e-01
3.187175636321085e-03	1.753412e-01
3.211729207749656e-03	1.954063e-01
3.236282779178228e-03	2.149816e-01
3.269764922035370e-03	2.405242e-01
3.303247064892513e-03	2.640753e-01
3.336729207749656e-03	2.856350e-01
3.370211350606799e-03	3.052033e-01
3.403693493463942e-03	3.227801e-01
3.437175636321085e-03	3.383654e-01
3.470657779178228e-03	3.519593e-01
3.489630993463942e-03	3.584279e-01
3.508604207749656e-03	3.640764e-01
3.527577422035371e-03	3.689048e-01
3.546550636321085e-03	3.729130e-01
3.565523850606800e-03	3.761010e-01
3.584497064892514e-03	3.784690e-01
3.603470279178228e-03	3.800168e-01
3.613514922035371e-03	3.804825e-01
3.623559564892514e-03	3.807107e-01
3.633604207749656e-03	3.807014e-01
3.643648850606800e-03	3.804548e-01
3.653693493463942e-03	3.799706e-01
3.663738136321085e-03	3.792490e-01
3.673782779178228e-03	3.782899e-01
3.687175636321085e-03	3.766368e-01
3.700568493463942e-03	3.745714e-01
3.713961350606800e-03	3.720936e-01
3.727354207749656e-03	3.692036e-01
3.740747064892514e-03	3.659014e-01
3.754139922035371e-03	3.621868e-01
3.767532779178228e-03	3.580600e-01
3.777577422035371e-03	3.547026e-01
3.787622064892514e-03	3.511283e-01
3.797666707749657e-03	3.473372e-01
3.807711350606800e-03	3.433293e-01
3.817755993463943e-03	3.391045e-01
3.827800636321085e-03	3.346628e-01
3.837845279178228e-03	3.300043e-01
3.862398850606799e-03	3.176245e-01
3.886952422035371e-03	3.041850e-01
3.911505993463942e-03	2.896858e-01
3.936059564892513e-03	2.741269e-01
3.960613136321085e-03	2.575083e-01
3.985166707749657e-03	2.398299e-01
4.009720279178228e-03	2.210919e-01
4.034273850606799e-03	2.014671e-01
4.058827422035371e-03	1.812704e-01
4.083380993463942e-03	1.605018e-01
4.107934564892514e-03	1.391613e-01
4.132488136321085e-03	1.172489e-01
4.157041707749657e-03	9.476459e-02
4.181595279178228e-03	7.170835e-02
4.192755993463942e-03	6.120071e-02
4.203916707749657e-03	5.066296e-02
4.215077422035371e-03	4.009510e-02
4.226238136321085e-03	2.949713e-02
4.237398850606799e-03	1.886906e-02
4.248559564892514e-03	8.210879e-03
4.259720279178228e-03	-2.477411e-03
4.268648850606799e-03	-1.102361e-02
4.277577422035371e-03	-1.955600e-02
4.286505993463943e-03	-2.807460e-02
4.295434564892514e-03	-3.657939e-02
4.304363136321085e-03	-4.507038e-02
4.313291707749657e-03	-5.354758e-02
4.322220279178228e-03	-6.201097e-02
4.344541707749657e-03	-8.316546e-02
4.366863136321085e-03	-1.039207e-01
4.389184564892514e-03	-1.242767e-01
4.411505993463943e-03	-1.442335e-01
4.433827422035371e-03	-1.637910e-01
4.456148850606799e-03	-1.829494e-01
4.478470279178228e-03	-2.017084e-01
4.513068493463943e-03	-2.297482e-01
4.547666707749657e-03	-2.556863e-01
4.582264922035372e-03	-2.795227e-01
4.616863136321085e-03	-3.012573e-01
4.651461350606800e-03	-3.208902e-01
4.686059564892514e-03	-3.384214e-01
4.720657779178229e-03	-3.538509e-01
4.740747064892514e-03	-3.614375e-01
4.760836350606800e-03	-3.680993e-01
4.780925636321085e-03	-3.738363e-01
4.801014922035372e-03	-3.786485e-01
4.821104207749657e-03	-3.825360e-01
4.841193493463943e-03	-3.854986e-01
4.861282779178229e-03	-3.875364e-01
4.867979207749657e-03	-3.879948e-01
4.874675636321085e-03	-3.883470e-01
4.881372064892514e-03	-3.885928e-01
4.888068493463943e-03	-3.887323e-01
4.894764922035372e-03	-3.887656e-01
4.901461350606800e-03	-3.886925e-01
4.908157779178229e-03	-3.885131e-01
4.923782779178229e-03	-3.876723e-01
4.939407779178229e-03	-3.862627e-01
4.955032779178229e-03	-3.842844e-01
4.970657779178229e-03	-3.817374e-01
4.986282779178229e-03	-3.786216e-01
5.001907779178229e-03	-3.749372e-01
5.017532779178229e-03	-3.706839e-01
5.024229207749658e-03	-3.686954e-01
5.030925636321086e-03	-3.666079e-01
5.037622064892514e-03	-3.644215e-01
5.044318493463943e-03	-3.621361e-01
